Test Accuracy,Test Precision,Test Recall,Test F1 Score,Number of Parameters
0.9791,0.9792667713641506,0.9790390002306371,0.9791295019492787,2740
0.9956,0.9956203263022516,0.9955454696979699,0.9955786920672767,887530
0.9853,0.9853378029797627,0.985167685443192,0.985234690823893,94650
